AeroFx,AeroFy,AeroFz,AeroMx,AeroMy,AeroMz,AeroThrust,GenPwr,GenTq,HSS_Spd,HydroFx,HydroFy,HydroFz,HydroMx,HydroMy,HydroMz,MoorFx,MoorFy,MoorFz,MoorMx,MoorMy,MoorMz,PitchCmd,PtfmHeave,PtfmHeaveVel,PtfmPitch,PtfmPitchVel,PtfmRoll,PtfmRollVel,PtfmSurge,PtfmSurgeVel,PtfmSway,PtfmSwayVel,PtfmYaw,PtfmYawVel,RotSpeed,Time,WaveElev,WindSpeed,dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw,env_wave_elev,env_wind_speed,gen_torque,qB1E1,qB1F1,qB1F2,qB2E1,qB2F1,qB2F2,qB3E1,qB3F1,qB3F2,qDrTr,qGeAz,qHv,qP,qR,qSg,qSw,qTFA1,qTFA2,qTSS1,qTSS2,qY,qyaw,thrust,time
-4509.126135756859,0.0,0.0,0.0,-405821.35221811745,0.0,-4509.126135756859,2479338.7561463322,43093.55,60.94689747964199,-662255.9385189521,0.0,-13118462.846182412,-6.146728992462158e-08,-45669366.12328332,-4.190951585769653e-08,-6.187454983592033,0.0,-1979296.783997564,0.0,5.345696542412043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6283185307179586,0.0,1.83,1.8782693490496025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884955592153876,-0.0003577699070369823,0.0,-2.746425075117309e-06,-3.3869352234899155e-21,-5.542497962527829e-05,3.966295437102229e-20,0.001066404599353734,0.0,-0.0008085010307519017,0.0,-1.0435543819181807e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,-0.0003577699070369823,-0.0001573585655531219,-1.940570937901704e-19,-5.542497962527829e-05,3.966295437102229e-20,0.001066404599353734,0.0,-0.0008085010307519017,0.0,-5.979126177629498e-21,0.0,0.0,0.03
-4510.939359762405,0.0,0.0,0.0,-405984.54237861646,0.0,-4510.939359762405,2479338.7561463322,43093.55,60.94689747964199,-923017.4979037296,-1.2020663169688776e-13,-13075661.477317486,-5.774199962615967e-08,-37250086.39076463,-5.960464477539063e-08,75.6558044796111,0.0,-1979231.7743841168,0.0,-322.346277307719,5.684341886080801e-13,0.0,-0.000993276920551354,-0.039703508449233545,-7.521966479143096e-06,-0.00029549875853044695,-9.262328334392018e-21,-3.626115034252129e-19,-0.00015518027435657133,-0.006267496374826792,1.0846630747640657e-19,4.246309252438286e-18,-2.8808677960857553e-22,-1.1597145151003005e-20,0.6283185307179586,0.05,1.8290402915511532,2.1627840547240527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769911184307752,-0.0014299135099217198,0.0,-1.0753994940381114e-05,-1.3089502152558898e-20,-0.00022432330364198082,1.532836571149434e-19,0.003850424140764954,0.0,-0.0027623164785554157,0.0,-4.246685483917381e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,-0.0014299135099217198,-0.0006161585229888792,-7.499732292690312e-19,-0.00022432330364198082,1.532836571149434e-19,0.003850424140764954,0.0,-0.0027623164785554157,0.0,-2.433171551479376e-20,0.0,0.0,0.060000000000000005
-4510.939359762405,0.0,0.0,0.0,-405984.54237861646,0.0,-4510.939359762405,2479338.7561463322,43093.55,60.94689747964199,-923017.4979037296,-1.2020663169688776e-13,-13075661.477317486,-5.774199962615967e-08,-37250086.39076463,-5.960464477539063e-08,75.6558044796111,0.0,-1979231.7743841168,0.0,-322.346277307719,5.684341886080801e-13,0.0,-0.000993276920551354,-0.039703508449233545,-7.521966479143096e-06,-0.00029549875853044695,-9.262328334392018e-21,-3.626115034252129e-19,-0.00015518027435657133,-0.006267496374826792,1.0846630747640657e-19,4.246309252438286e-18,-2.8808677960857553e-22,-1.1597145151003005e-20,0.6283185307179586,0.05,1.8290402915511532,2.1627840547240527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654866776461627,-0.00321434680137538,0.0,-2.3669554852024433e-05,-2.897325802230887e-20,-0.0005104840750134095,3.3928473025735495e-19,0.007654875417324555,0.0,-0.005064971405990551,0.0,-9.633381978967279e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2399999999999998,-0.00321434680137538,-0.0013561655959744,-1.6600454034218526e-18,-0.0005104840750134095,3.3928473025735495e-19,0.007654875417324555,0.0,-0.005064971405990551,0.0,-5.519521298322099e-20,0.0,0.0,0.09
-4495.983178250259,0.0,0.0,0.0,-404638.4860425236,0.0,-4495.983178250259,2479338.7561463322,43093.55,60.94689747964199,-1182336.967880994,-2.144814926781616e-13,-13016413.083597554,-6.984919309616089e-08,-28792634.370114613,-1.6763806343078613e-08,329.6861626554746,0.0,-1979037.6386790276,0.0,-1510.7732543945312,1.8189894035458565e-12,0.0,-0.003967020146805703,-0.07920718877542679,-2.9004392327125616e-05,-0.0005583627773992887,-3.5087329972839236e-20,-6.547982445335511e-19,-0.0006325877300081433,-0.012887982555762494,4.1087995359480553e-19,7.667616281889324e-18,-1.1865639140268974e-21,-2.33479224353502e-20,0.6283185307179586,0.09999999999999999,1.8261621728060402,2.5780277650173216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07539822368615502,-0.005708540624517571,0.0,-4.1141301008837496e-05,-5.004359913018972e-20,-0.0009177541588748187,5.860153286600084e-19,0.011909531541567412,0.0,-0.007074521463145594,0.0,-1.6872238103781355e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.319999999999999,-0.005708540624517571,-0.0023572229114837044,-2.8672870218044285e-18,-0.0009177541588748187,5.860153286600084e-19,0.011909531541567412,0.0,-0.007074521463145594,0.0,-9.667080342864827e-20,0.0,0.0,0.11999999999999998
-4495.983178250259,0.0,0.0,0.0,-404638.4860425236,0.0,-4495.983178250259,2479338.7561463322,43093.55,60.94689747964199,-1182336.967880994,-2.144814926781616e-13,-13016413.083597554,-6.984919309616089e-08,-28792634.370114613,-1.6763806343078613e-08,329.6861626554746,0.0,-1979037.6386790276,0.0,-1510.7732543945312,1.8189894035458565e-12,0.0,-0.003967020146805703,-0.07920718877542679,-2.9004392327125616e-05,-0.0005583627773992887,-3.5087329972839236e-20,-6.547982445335511e-19,-0.0006325877300081433,-0.012887982555762494,4.1087995359480553e-19,7.667616281889324e-18,-1.1865639140268974e-21,-2.33479224353502e-20,0.6283185307179586,0.09999999999999999,1.8261621728060402,2.5780277650173216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09424777960769377,-0.008909522536290296,0.0,-6.282554861313755e-05,-7.710664073906246e-20,-0.0014502335695771836,9.029119785617259e-19,0.016355976983956362,0.0,-0.008527844739944881,0.0,-2.6431795623887886e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399999999999999,-0.008909522536290296,-0.003599638781126764,-4.417885086779774e-18,-0.0014502335695771836,9.029119785617259e-19,0.016355976983956362,0.0,-0.008527844739944881,0.0,-1.5144303342011345e-19,0.0,0.0,0.15
-4502.613087712638,0.0,0.0,0.0,-405235.17789413733,0.0,-4502.613087712638,2479338.7561463322,43093.55,60.94689747964199,-1439856.89134538,-3.2304419830601817e-13,-12940814.71553813,-6.984919309616089e-08,-20309538.20054082,-4.6566128730773926e-08,769.0258143122774,0.0,-1978716.2030216146,0.0,-3872.9032816383988,4.547473508864641e-12,0.0,-0.008909522536290296,-0.11844249136344374,-6.282554861313755e-05,-0.0007892721594902626,-7.710664073906246e-20,-1.0001532800280298e-18,-0.0014502335695771836,-0.019884022230495665,9.029119785617259e-19,1.1711221644344675e-17,-2.6431795623887886e-21,-3.618647082409832e-20,0.6283185307179586,0.15,1.8213686625131607,2.37642043362986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11309733552923253,-0.012813878959482572,0.0,-8.838668887835425e-05,-1.1036335909839662e-19,-0.002112278550616673,1.2923240119562142e-18,0.021073585447025797,0.0,-0.00957367969527336,0.0,-3.8413309147976705e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.479999999999999,-0.012813878959482572,-0.00506418423786559,-6.3233546892248616e-18,-0.002112278550616673,1.2923240119562142e-18,0.021073585447025797,0.0,-0.00957367969527336,0.0,-2.2009204913103414e-19,0.0,0.0,0.18000000000000002
-4500.619848279008,0.0,0.0,0.0,-405055.78634511074,0.0,-4500.619848279008,2479338.7561463322,43093.55,60.94689747964199,-1695221.4833318857,-4.239983835045045e-13,-12848991.988888191,-8.568167686462402e-08,-11813183.296059772,-4.936009645462036e-08,1407.8238618371543,0.0,-1978269.9197291064,0.0,-7730.010514484718,7.275957614183426e-12,0.0,-0.015805662466786424,-0.15734140663754315,-0.00010741705495242442,-0.0009892500093240952,-1.3590190287280896e-19,-1.3330995389860297e-18,-0.002627827807303452,-0.02728859050406535,1.5913549199651804e-18,1.560909813199989e-17,-4.738516379646996e-21,-4.723096758825627e-20,0.6283185307179586,0.20000000000000004,1.8146647884018339,2.4039976927425313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319468914507713,-0.017417757599446183,0.0,-0.00011749196700950039,-1.4970058816814437e-19,-0.002908349816317421,1.7529214667903264e-18,0.02636318631290696,0.0,-0.010633469225887992,0.0,-5.225953833801607e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.559999999999999,-0.017417757599446183,-0.006731793836334677,-8.577211892660741e-18,-0.002908349816317421,1.7529214667903264e-18,0.02636318631290696,0.0,-0.010633469225887992,0.0,-2.9942509860704413e-19,0.0,0.0,0.21000000000000005
-4500.619848279008,0.0,0.0,0.0,-405055.78634511074,0.0,-4500.619848279008,2479338.7561463322,43093.55,60.94689747964199,-1695221.4833318857,-4.239983835045045e-13,-12848991.988888191,-8.568167686462402e-08,-11813183.296059772,-4.936009645462036e-08,1407.8238618371543,0.0,-1978269.9197291064,0.0,-7730.010514484718,7.275957614183426e-12,0.0,-0.015805662466786424,-0.15734140663754315,-0.00010741705495242442,-0.0009892500093240952,-1.3590190287280896e-19,-1.3330995389860297e-18,-0.002627827807303452,-0.02728859050406535,1.5913549199651804e-18,1.560909813199989e-17,-4.738516379646996e-21,-4.723096758825627e-20,0.6283185307179586,0.20000000000000004,1.8146647884018339,2.4039976927425313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15079644737231004,-0.02271687010689661,0.0,-0.00014980420515167475,-1.9492029084813213e-19,-0.0038427936856491344,2.2823800564503957e-18,0.03255934083287243,0.0,-0.012175053447019473,0.0,-6.802457341331046e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.639999999999999,-0.02271687010689661,-0.008583148708502908,-1.1168110007060457e-17,-0.0038427936856491344,2.2823800564503957e-18,0.03255934083287243,0.0,-0.012175053447019473,0.0,-3.897520959760518e-19,0.0,0.0,0.24000000000000007
-4501.8783859404,0.0,0.0,0.0,-405169.0547346359,0.0,-4501.8783859404,2479338.7561463322,43093.55,60.94689747964199,-1948087.5687130822,-5.280996572937514e-13,-12741094.108574416,-6.565824151039124e-08,-3315964.949854235,-2.9336661100387573e-08,2258.538679015124,0.0,-1977701.8878967832,0.0,-13377.757990105078,1.0913936421275139e-11,0.0,-0.024636933714079108,-0.19583657779927255,-0.00016122792810841242,-0.0011578268828844156,-2.115486199511808e-19,-1.6916526050215718e-18,-0.004185734996835774,-0.035090260594197495,2.4770706218739152e-18,1.9806366697914343e-17,-7.385958813943954e-21,-5.903724931369142e-20,0.6283185307179586,0.25000000000000006,1.8060575819088087,2.347644839330892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696460032938488,-0.02870649497871484,0.0,-0.00018497603629305377,-2.4683829256831983e-19,-0.004919658688213062,2.8902480744192807e-18,0.0398590619255135,0.0,-0.014505128218850026,0.0,-8.602119725365727e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.719999999999999,-0.02870649497871484,-0.01059834619065072,-1.414279238638016e-17,-0.004919658688213062,2.8902480744192807e-18,0.0398590619255135,0.0,-0.014505128218850026,0.0,-4.92865155129691e-19,0.0,0.0,0.2700000000000001
-4501.8783859404,0.0,0.0,0.0,-405169.0547346359,0.0,-4501.8783859404,2479338.7561463322,43093.55,60.94689747964199,-1948087.5687130822,-5.280996572937514e-13,-12741094.108574416,-6.565824151039124e-08,-3315964.949854235,-2.9336661100387573e-08,2258.538679015124,0.0,-1977701.8878967832,0.0,-13377.757990105078,1.0913936421275139e-11,0.0,-0.024636933714079108,-0.19583657779927255,-0.00016122792810841242,-0.0011578268828844156,-2.115486199511808e-19,-1.6916526050215718e-18,-0.004185734996835774,-0.035090260594197495,2.4770706218739152e-18,1.9806366697914343e-17,-7.385958813943954e-21,-5.903724931369142e-20,0.6283185307179586,0.25000000000000006,1.8060575819088087,2.347644839330892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18849555921538755,-0.03538148070203916,0.0,-0.0002226475859658741,-3.0471417559956434e-19,-0.006142611063494662,3.5678485488586685e-18,0.04823324877246446,0.0,-0.01766087986941725,0.0,-1.0585589677073009e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999999999997,-0.03538148070203916,-0.012756766994620763,-1.745883621966329e-17,-0.006142611063494662,3.5678485488586685e-18,0.04823324877246446,0.0,-0.01766087986941725,0.0,-6.065096121535354e-19,0.0,0.0,0.3000000000000001
