Time	 FairTen1	 AnchTen1	 FairTen2	 AnchTen2	 FairTen3	 AnchTen3	 
(s)	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 (N)       	 
0	 2.72242e+06	 1.50638e+06	 2.72245e+06	 1.50641e+06	 2.72245e+06	 1.50641e+06	 
0.01	 2.72242e+06	 1.50639e+06	 2.72246e+06	 1.50642e+06	 2.72246e+06	 1.50642e+06	 
0.02	 2.7124e+06	 1.5064e+06	 2.71445e+06	 1.50643e+06	 2.71445e+06	 1.50643e+06	 
0.03	 2.71445e+06	 1.50642e+06	 2.71599e+06	 1.50645e+06	 2.71599e+06	 1.50645e+06	 
0.04	 2.70523e+06	 1.50644e+06	 2.70852e+06	 1.50647e+06	 2.70852e+06	 1.50647e+06	 
0.05	 2.71127e+06	 1.50647e+06	 2.71344e+06	 1.5065e+06	 2.71344e+06	 1.5065e+06	 
0.06	 2.69977e+06	 1.50651e+06	 2.70403e+06	 1.50654e+06	 2.70403e+06	 1.50654e+06	 
0.07	 2.70509e+06	 1.50655e+06	 2.70825e+06	 1.50658e+06	 2.70825e+06	 1.50658e+06	 
0.08	 2.69339e+06	 1.50659e+06	 2.69858e+06	 1.50663e+06	 2.69858e+06	 1.50663e+06	 
0.09	 2.70227e+06	 1.50665e+06	 2.70593e+06	 1.50668e+06	 2.70593e+06	 1.50668e+06	 
0.1	 2.68822e+06	 1.5067e+06	 2.69421e+06	 1.50673e+06	 2.69421e+06	 1.50673e+06	 
0.11	 2.69636e+06	 1.50676e+06	 2.70083e+06	 1.50679e+06	 2.70083e+06	 1.50679e+06	 
0.12	 2.68212e+06	 1.50683e+06	 2.68885e+06	 1.50686e+06	 2.68885e+06	 1.50686e+06	 
0.13	 2.69376e+06	 1.5069e+06	 2.69863e+06	 1.50693e+06	 2.69863e+06	 1.50693e+06	 
0.14	 2.65292e+06	 1.50698e+06	 2.66369e+06	 1.50701e+06	 2.66369e+06	 1.50701e+06	 
0.15	 2.67888e+06	 1.50706e+06	 2.68572e+06	 1.50709e+06	 2.68572e+06	 1.50709e+06	 
0.16	 2.63641e+06	 1.50714e+06	 2.64868e+06	 1.50717e+06	 2.64868e+06	 1.50717e+06	 
0.17	 2.66874e+06	 1.50723e+06	 2.67651e+06	 1.50726e+06	 2.67651e+06	 1.50726e+06	 
0.18	 2.62191e+06	 1.50732e+06	 2.63502e+06	 1.50736e+06	 2.63502e+06	 1.50736e+06	 
0.19	 2.65962e+06	 1.50742e+06	 2.66792e+06	 1.50745e+06	 2.66792e+06	 1.50745e+06	 
0.2	 2.60825e+06	 1.50752e+06	 2.62168e+06	 1.50756e+06	 2.62168e+06	 1.50756e+06	 
0.21	 2.65107e+06	 1.50763e+06	 2.65958e+06	 1.50766e+06	 2.65958e+06	 1.50766e+06	 
0.22	 2.59523e+06	 1.50774e+06	 2.60855e+06	 1.50777e+06	 2.60855e+06	 1.50777e+06	 
0.23	 2.6431e+06	 1.50784e+06	 2.6515e+06	 1.50788e+06	 2.6515e+06	 1.50788e+06	 
0.24	 2.58289e+06	 1.50794e+06	 2.59567e+06	 1.50798e+06	 2.59567e+06	 1.50798e+06	 
0.25	 2.63575e+06	 1.50803e+06	 2.64374e+06	 1.50807e+06	 2.64374e+06	 1.50807e+06	 
0.26	 2.57131e+06	 1.50809e+06	 2.58311e+06	 1.50815e+06	 2.58311e+06	 1.50815e+06	 
0.27	 2.62908e+06	 1.50812e+06	 2.63635e+06	 1.5082e+06	 2.63635e+06	 1.5082e+06	 
0.28	 2.56051e+06	 1.5081e+06	 2.57091e+06	 1.5082e+06	 2.57091e+06	 1.5082e+06	 
0.29	 2.62313e+06	 1.50799e+06	 2.6294e+06	 1.50814e+06	 2.6294e+06	 1.50814e+06	 
0.3	 2.55056e+06	 1.50779e+06	 2.55916e+06	 1.508e+06	 2.55916e+06	 1.508e+06	 
0.31	 2.61796e+06	 1.50746e+06	 2.62293e+06	 1.50776e+06	 2.62293e+06	 1.50776e+06	 
0.32	 2.54146e+06	 1.50698e+06	 2.5479e+06	 1.5074e+06	 2.5479e+06	 1.5074e+06	 
0.33	 2.61359e+06	 1.50634e+06	 2.61702e+06	 1.5069e+06	 2.61702e+06	 1.5069e+06	 
0.34	 2.53327e+06	 1.50552e+06	 2.53718e+06	 1.50625e+06	 2.53718e+06	 1.50625e+06	 
0.35	 2.61006e+06	 1.50451e+06	 2.61169e+06	 1.50545e+06	 2.61169e+06	 1.50545e+06	 
0.36	 2.526e+06	 1.5033e+06	 2.52705e+06	 1.50448e+06	 2.52705e+06	 1.50448e+06	 
0.37	 2.60737e+06	 1.50189e+06	 2.60698e+06	 1.50334e+06	 2.60698e+06	 1.50334e+06	 
0.38	 2.51964e+06	 1.50027e+06	 2.51752e+06	 1.50202e+06	 2.51752e+06	 1.50202e+06	 
0.39	 2.60551e+06	 1.49843e+06	 2.60291e+06	 1.50051e+06	 2.60291e+06	 1.50051e+06	 
0.4	 2.51414e+06	 1.49634e+06	 2.50861e+06	 1.49878e+06	 2.50861e+06	 1.49878e+06	 
0.41	 2.60443e+06	 1.49397e+06	 2.59945e+06	 1.4968e+06	 2.59945e+06	 1.4968e+06	 
0.42	 2.50946e+06	 1.49129e+06	 2.50027e+06	 1.49454e+06	 2.50027e+06	 1.49454e+06	 
0.43	 2.60405e+06	 1.48826e+06	 2.59658e+06	 1.49195e+06	 2.59658e+06	 1.49195e+06	 
0.44	 2.5055e+06	 1.48484e+06	 2.49249e+06	 1.48902e+06	 2.49249e+06	 1.48902e+06	 
0.45	 2.6043e+06	 1.48101e+06	 2.59425e+06	 1.48569e+06	 2.59425e+06	 1.48569e+06	 
0.46	 2.50218e+06	 1.47674e+06	 2.48518e+06	 1.48197e+06	 2.48518e+06	 1.48197e+06	 
0.47	 2.60507e+06	 1.47206e+06	 2.59238e+06	 1.47785e+06	 2.59238e+06	 1.47785e+06	 
0.48	 2.49938e+06	 1.46699e+06	 2.47831e+06	 1.47335e+06	 2.47831e+06	 1.47335e+06	 
0.49	 2.60627e+06	 1.46158e+06	 2.59093e+06	 1.4685e+06	 2.59093e+06	 1.4685e+06	 
0.5	 2.49703e+06	 1.4559e+06	 2.47181e+06	 1.46336e+06	 2.47181e+06	 1.46336e+06	 
0.51	 2.60782e+06	 1.45002e+06	 2.58983e+06	 1.45799e+06	 2.58983e+06	 1.45799e+06	 
0.52	 2.49502e+06	 1.44403e+06	 2.46561e+06	 1.45246e+06	 2.46561e+06	 1.45246e+06	 
0.53	 2.60963e+06	 1.43803e+06	 2.58902e+06	 1.44684e+06	 2.58902e+06	 1.44684e+06	 
0.54	 2.49329e+06	 1.4321e+06	 2.45967e+06	 1.44121e+06	 2.45967e+06	 1.44121e+06	 
0.55	 2.61161e+06	 1.42631e+06	 2.58844e+06	 1.43562e+06	 2.58844e+06	 1.43562e+06	 
0.56	 2.49175e+06	 1.42072e+06	 2.45391e+06	 1.43013e+06	 2.45391e+06	 1.43013e+06	 
0.57	 2.61371e+06	 1.4154e+06	 2.58804e+06	 1.4248e+06	 2.58804e+06	 1.4248e+06	 
0.58	 2.49032e+06	 1.41038e+06	 2.4483e+06	 1.41964e+06	 2.4483e+06	 1.41964e+06	 
0.59	 2.61583e+06	 1.40568e+06	 2.58775e+06	 1.41469e+06	 2.58775e+06	 1.41469e+06	 
0.6	 2.48893e+06	 1.40132e+06	 2.44275e+06	 1.40997e+06	 2.44275e+06	 1.40997e+06	 
0.61	 2.61788e+06	 1.39732e+06	 2.58751e+06	 1.40548e+06	 2.58751e+06	 1.40548e+06	 
0.62	 2.48748e+06	 1.39366e+06	 2.43719e+06	 1.40123e+06	 2.43719e+06	 1.40123e+06	 
0.63	 2.61978e+06	 1.39035e+06	 2.58723e+06	 1.39722e+06	 2.58723e+06	 1.39722e+06	 
0.64	 2.48587e+06	 1.38737e+06	 2.43155e+06	 1.39344e+06	 2.43155e+06	 1.39344e+06	 
0.65	 2.62143e+06	 1.38473e+06	 2.58682e+06	 1.3899e+06	 2.58682e+06	 1.3899e+06	 
0.66	 2.48401e+06	 1.38239e+06	 2.42572e+06	 1.38659e+06	 2.42572e+06	 1.38659e+06	 
0.67	 2.62272e+06	 1.38037e+06	 2.58619e+06	 1.38349e+06	 2.58619e+06	 1.38349e+06	 
0.68	 2.48179e+06	 1.37863e+06	 2.41962e+06	 1.38062e+06	 2.41962e+06	 1.38062e+06	 
0.69	 2.62355e+06	 1.37718e+06	 2.58525e+06	 1.37795e+06	 2.58525e+06	 1.37795e+06	 
0.7	 2.47912e+06	 1.376e+06	 2.41314e+06	 1.3755e+06	 2.41314e+06	 1.3755e+06	 
0.71	 2.62382e+06	 1.37508e+06	 2.58388e+06	 1.37324e+06	 2.58388e+06	 1.37324e+06	 
0.72	 2.47588e+06	 1.3744e+06	 2.40618e+06	 1.37118e+06	 2.40618e+06	 1.37118e+06	 
0.73	 2.62341e+06	 1.37397e+06	 2.582e+06	 1.36931e+06	 2.582e+06	 1.36931e+06	 
0.74	 2.47197e+06	 1.37377e+06	 2.39864e+06	 1.36764e+06	 2.39864e+06	 1.36764e+06	 
0.75	 2.62225e+06	 1.37378e+06	 2.5795e+06	 1.36614e+06	 2.5795e+06	 1.36614e+06	 
0.76	 2.46734e+06	 1.37401e+06	 2.39043e+06	 1.36482e+06	 2.39043e+06	 1.36482e+06	 
0.77	 2.62025e+06	 1.37443e+06	 2.57629e+06	 1.36367e+06	 2.57629e+06	 1.36367e+06	 
0.78	 2.46189e+06	 1.37503e+06	 2.38146e+06	 1.36269e+06	 2.38146e+06	 1.36269e+06	 
0.79	 2.61735e+06	 1.37582e+06	 2.57229e+06	 1.36187e+06	 2.57229e+06	 1.36187e+06	 
0.8	 2.4556e+06	 1.37676e+06	 2.37166e+06	 1.3612e+06	 2.37166e+06	 1.3612e+06	 
0.81	 2.61355e+06	 1.37787e+06	 2.56745e+06	 1.36068e+06	 2.56745e+06	 1.36068e+06	 
0.82	 2.44849e+06	 1.37911e+06	 2.36102e+06	 1.3603e+06	 2.36102e+06	 1.3603e+06	 
0.83	 2.6089e+06	 1.38048e+06	 2.5618e+06	 1.36005e+06	 2.5618e+06	 1.36005e+06	 
0.84	 2.44065e+06	 1.38198e+06	 2.34957e+06	 1.35993e+06	 2.34957e+06	 1.35993e+06	 
0.85	 2.60353e+06	 1.38358e+06	 2.55539e+06	 1.35993e+06	 2.55539e+06	 1.35993e+06	 
0.86	 2.43226e+06	 1.38528e+06	 2.33743e+06	 1.36004e+06	 2.33743e+06	 1.36004e+06	 
0.87	 2.59765e+06	 1.38708e+06	 2.54839e+06	 1.36026e+06	 2.54839e+06	 1.36026e+06	 
0.88	 2.42357e+06	 1.38896e+06	 2.32478e+06	 1.36058e+06	 2.32478e+06	 1.36058e+06	 
0.89	 2.59154e+06	 1.39091e+06	 2.54099e+06	 1.36099e+06	 2.54099e+06	 1.36099e+06	 
0.9	 2.41488e+06	 1.39293e+06	 2.31185e+06	 1.3615e+06	 2.31185e+06	 1.3615e+06	 
0.91	 2.58553e+06	 1.395e+06	 2.53346e+06	 1.36208e+06	 2.53346e+06	 1.36208e+06	 
0.92	 2.40653e+06	 1.39713e+06	 2.29892e+06	 1.36274e+06	 2.29892e+06	 1.36274e+06	 
0.93	 2.57995e+06	 1.3993e+06	 2.52609e+06	 1.36348e+06	 2.52609e+06	 1.36348e+06	 
0.94	 2.39885e+06	 1.40151e+06	 2.28627e+06	 1.36429e+06	 2.28627e+06	 1.36429e+06	 
0.95	 2.57512e+06	 1.40375e+06	 2.51912e+06	 1.36516e+06	 2.51912e+06	 1.36516e+06	 
0.96	 2.39214e+06	 1.40601e+06	 2.27414e+06	 1.36608e+06	 2.27414e+06	 1.36608e+06	 
0.97	 2.57131e+06	 1.4083e+06	 2.51281e+06	 1.36706e+06	 2.51281e+06	 1.36706e+06	 
0.98	 2.3866e+06	 1.41061e+06	 2.26274e+06	 1.36809e+06	 2.26274e+06	 1.36809e+06	 
0.99	 2.56869e+06	 1.41292e+06	 2.50733e+06	 1.36916e+06	 2.50733e+06	 1.36916e+06	 
1	 2.38241e+06	 1.41523e+06	 2.25223e+06	 1.37027e+06	 2.25223e+06	 1.37027e+06	 
1.01	 2.56739e+06	 1.41754e+06	 2.5028e+06	 1.37141e+06	 2.5028e+06	 1.37141e+06	 
1.02	 2.37964e+06	 1.41983e+06	 2.24271e+06	 1.37257e+06	 2.24271e+06	 1.37257e+06	 
1.03	 2.56745e+06	 1.42211e+06	 2.49929e+06	 1.37376e+06	 2.49929e+06	 1.37376e+06	 
1.04	 2.37828e+06	 1.42437e+06	 2.2342e+06	 1.37495e+06	 2.2342e+06	 1.37495e+06	 
1.05	 2.56884e+06	 1.42658e+06	 2.49682e+06	 1.37614e+06	 2.49682e+06	 1.37614e+06	 
1.06	 2.37829e+06	 1.42876e+06	 2.22672e+06	 1.37733e+06	 2.22672e+06	 1.37733e+06	 
1.07	 2.57149e+06	 1.43089e+06	 2.49537e+06	 1.37851e+06	 2.49537e+06	 1.37851e+06	 
1.08	 2.37959e+06	 1.43296e+06	 2.22022e+06	 1.37966e+06	 2.22022e+06	 1.37966e+06	 
1.09	 2.5753e+06	 1.43496e+06	 2.49489e+06	 1.38079e+06	 2.49489e+06	 1.38079e+06	 
1.1	 2.38205e+06	 1.43688e+06	 2.21465e+06	 1.38188e+06	 2.21465e+06	 1.38188e+06	 
